roto_name,name,team,date
,Isaiah Hartenstein,HOUSTON ROCKETS,1
,James Nunnally,HOUSTON ROCKETS,1
,Kenneth Faried,HOUSTON ROCKETS,1
,Johnathan Motley,LOS ANGELES CLIPPERS,1
,Wilson Chandler,LOS ANGELES CLIPPERS,1
,Alex Caruso,LOS ANGELES LAKERS,1
,Andre Ingram,LOS ANGELES LAKERS,1
,JaVale McGee,LOS ANGELES LAKERS,1
,Jemerrio Jones,LOS ANGELES LAKERS,1
,Johnathan Williams,LOS ANGELES LAKERS,1
,Josh Hart,LOS ANGELES LAKERS,1
,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,1
,Kyle Kuzma,LOS ANGELES LAKERS,1
,LeBron James,LOS ANGELES LAKERS,1
,Moritz Wagner,LOS ANGELES LAKERS,1
,Rajon Rondo,LOS ANGELES LAKERS,1
,Reggie Bullock,LOS ANGELES LAKERS,1
,Tyson Chandler,LOS ANGELES LAKERS,1
,Bruno Caboclo,MEMPHIS GRIZZLIES,1
,Dusty Hannahs,MEMPHIS GRIZZLIES,1
,Jevon Carter,MEMPHIS GRIZZLIES,1
,Joakim Noah,MEMPHIS GRIZZLIES,1
,Julian Washburn,MEMPHIS GRIZZLIES,1
,Justin Holiday,MEMPHIS GRIZZLIES,1
,Kyle Anderson,MEMPHIS GRIZZLIES,1
,MarShon Brooks,MEMPHIS GRIZZLIES,1
,Omri Casspi,MEMPHIS GRIZZLIES,1
,Tyler Zeller,MEMPHIS GRIZZLIES,1
,Wayne Selden,MEMPHIS GRIZZLIES,1
,Yuta Watanabe,MEMPHIS GRIZZLIES,1
,Bam Adebayo,MIAMI HEAT,1
,Derrick Jones,MIAMI HEAT,1
,Dion Waiters,MIAMI HEAT,1
,Dwyane Wade,MIAMI HEAT,1
,Goran Dragic,MIAMI HEAT,1
,Hassan Whiteside,MIAMI HEAT,1
,James Johnson,MIAMI HEAT,1
,Justise Winslow,MIAMI HEAT,1
,Kelly Olynyk,MIAMI HEAT,1
,Rodney McGruder,MIAMI HEAT,1
,Bonzie Colson,MILWAUKEE BUCKS,1
,Isaiah Canaan,MILWAUKEE BUCKS,1
,Jason Smith,MILWAUKEE BUCKS,1
,John Henson,MILWAUKEE BUCKS,1
,Matthew Dellavedova,MILWAUKEE BUCKS,1
,Pau Gasol,MILWAUKEE BUCKS,1
