slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
netora01,Raul Neto,POINT GUARD,26,UTAH JAZZ,37,1,474,74,161,20,60,28,33,6,56,93,14,4,35,49
niangge01,Georges Niang,POWER FORWARD,25,UTAH JAZZ,55,0,408,65,142,37,90,13,17,9,64,25,8,3,16,47
noahjo01,Joakim Noah,CENTER,33,MEMPHIS GRIZZLIES,42,1,693,110,213,0,1,78,109,58,180,89,20,31,50,96
noelne01,Nerlens Noel,CENTER,24,OKLAHOMA CITY THUNDER,73,2,1006,155,266,0,0,50,75,121,193,42,61,90,42,159
nowitdi01,Dirk Nowitzki,POWER FORWARD,40,DALLAS MAVERICKS,47,16,694,110,307,55,178,34,45,4,124,29,8,16,16,68
ntilila01,Frank Ntilikina,POINT GUARD,20,NEW YORK KNICKS,43,16,904,95,282,33,115,23,30,12,75,121,30,14,56,104
nunnaja01,James Nunnally,SMALL FORWARD,28,MINNESOTA TIMBERWOLVES,13,0,64,9,21,5,13,4,4,0,4,5,1,0,1,4
nunnaja01,James Nunnally,SMALL FORWARD,28,HOUSTON ROCKETS,2,0,38,3,13,3,12,0,0,0,1,2,0,0,0,6
nurkiju01,Jusuf Nurkic,CENTER,24,PORTLAND TRAIL BLAZERS,72,72,1974,420,826,3,29,282,365,243,505,233,71,103,168,250
nwabada01,David Nwaba,SHOOTING GUARD,26,CLEVELAND CAVALIERS,47,14,908,117,242,24,72,55,82,36,107,49,34,17,23,99
