position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
PG,"Russell, D'Angelo^",26.4,"$4,900",LOS ANGELES LAKERS,@ chi, 115-126,34:01,   15pt 2rb 6as 1st 2to 2trey 6-13fg 1-2ft
PG,"Jennings, Brandon",26.3,"$3,700",ORLANDO MAGIC,v ind, 102-105,25:08,   12pt 4rb 7as 2st 5to 2trey 4-9fg 2-3ft
PG,"Chalmers, Mario",24.8,"$4,700",MEMPHIS GRIZZLIES,@ tor, 85-98,18:40,   17pt 4rb 2st 1to 1trey 5-15fg 6-7ft
SG,"Hood, Rodney^",24.6,"$5,900",UTAH JAZZ,@ por, 111-115,32:56,   18pt 3rb 2as 2trey 8-16fg
SG,"Lin, Jeremy",24,"$4,700",CHARLOTTE HORNETS,@ bkn, 104-96,30:31,   11pt 5rb 2as 1st 1bl 3-10fg 5-6ft
SG,"Stephenson, Lance",23.6,"$3,500",MEMPHIS GRIZZLIES,@ tor, 85-98,22:22,   16pt 3rb 2as 1st 1to 6-10fg 4-4ft
SG,"Caldwell-Pope, Kentavious^",23.6,"$5,300",DETROIT PISTONS,v nor, 106-111,34:08,   14pt 3rb 4st 2to 2trey 4-15fg 4-5ft
SG,"Barton, Will",23.5,"$6,200",DENVER NUGGETS,v bos, 101-121,31:08,   10pt 5rb 3as 2st 1bl 3to 1trey 2-12fg 5-7ft
PG,"Barea, Jose",22.9,"$3,600",DALLAS MAVERICKS,v phi, 129-103,24:22,   12pt 2rb 5as 1st 1to 2trey 5-9fg
SG,"Booker, Devin^",22.8,"$5,200",PHOENIX SUNS,v sas, 111-118,24:01,   10pt 4rb 6as 1to 1trey 3-9fg 3-3ft
PG,"Felton, Raymond",22.3,"$4,600",DALLAS MAVERICKS,v phi, 129-103,28:46,   10pt 4rb 1as 3st 1bl 2to 3-8fg 4-4ft
SG,"Bradley, Avery^",21.9,"$5,600",BOSTON CELTICS,@ den, 121-101,32:10,   20pt 2rb 1as 2to 3trey 8-15fg 1-1ft
PG,"Goodwin, Archie",21.9,"$5,200",PHOENIX SUNS,v sas, 111-118,23:59,   14pt 7rb 1as 2to 1trey 5-14fg 3-4ft
PG,"Augustin, D.J.",21.6,"$3,600",DENVER NUGGETS,v bos, 101-121,29:51,   13pt 3rb 4as 1to 2trey 4-8fg 3-4ft
PG,"Smart, Marcus",21.4,"$5,200",BOSTON CELTICS,@ den, 121-101,31:54,   10pt 2rb 2as 4st 2to 2trey 4-12fg
