slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
joneske01,Kevin Jones,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,LOSS,367,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
telfase01,Sebastian Telfair,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,412,0,1,0,1,0,0,0,1,1,1,0,1,0,0.3
thomala01,Lance Thomas,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,609,1,2,0,0,0,0,0,2,0,0,0,1,1,0.2
delfica01,Carlos Delfino,HOUSTON ROCKETS,HOME,NEW ORLEANS HORNETS,WIN,1440,1,6,0,4,0,0,0,3,2,1,0,1,1,0.1
fredeji01,Jimmer Fredette,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,WIN,894,1,5,0,2,4,5,0,0,0,0,0,2,1,0.1
templga01,Garrett Temple,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1339,0,3,0,2,0,0,0,1,7,0,2,2,6,0.1
brookma01,MarShon Brooks,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
douglch01,Chris Douglas-Roberts,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
harrejo01,Josh Harrellson,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
jamesbe01,Bernard James,DALLAS MAVERICKS,AWAY,MIAMI HEAT,LOSS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
lambje01,Jeremy Lamb,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
shengto01,Tornike Shengelia,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
iveyro01,Royal Ivey,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,LOSS,218,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
youngsa01,Sam Young,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,495,0,1,0,0,0,0,0,2,0,0,0,0,0,-0.1
clavevi01,Victor Claver,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,766,1,2,0,1,0,1,2,0,0,0,0,1,3,-0.2
cunnida01,Dante Cunningham,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1072,2,9,0,1,0,0,0,3,1,1,0,1,1,-0.3
wroteto01,Tony Wroten,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,148,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.3
greenge01,Gerald Green,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,1078,1,4,1,2,0,0,0,0,0,1,0,2,0,-0.4
haddaha01,Hamed Haddadi,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,40,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
oquinky01,Kyle O'Quinn,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,174,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
teletmi01,Mirza Teletovic,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,96,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
martica01,Cartier Martin,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,1108,2,6,0,2,0,0,0,2,0,0,0,1,2,-0.6
pavloal01,Sasha Pavlovic,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,559,1,3,0,2,0,0,0,0,0,0,1,1,2,-0.8
greenwi01,Willie Green,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,828,2,10,1,5,0,0,0,0,1,1,0,1,1,-0.9
redicjj01,J.J. Redick,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,2056,3,12,1,8,0,0,0,1,2,0,0,2,1,-0.9
blairde01,DeJuan Blair,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,245,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,448,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
turkohe01,Hedo Turkoglu,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,1070,0,3,0,1,0,0,0,5,1,0,0,0,3,-1.1
webstma02,Martell Webster,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,840,0,3,0,0,0,0,0,0,2,1,0,1,1,-1.1
anderal01,Alan Anderson,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1223,2,9,0,2,0,0,1,1,2,1,0,2,3,-1.3
hansbty01,Tyler Hansbrough,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,890,0,3,0,0,2,4,2,1,1,0,0,2,2,-1.3
coleno01,Norris Cole,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,991,2,7,0,1,0,0,0,0,0,0,0,1,1,-1.5
