position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SF,"Middleton, Khris",0,$34,MILWAUKEE BUCKS,@ bkn, 131-121,DNP,   
SF,"Snell, Tony",0,$10,MILWAUKEE BUCKS,@ bkn, 131-121,DNP,   
SF,"Maten, Yante",0,$10,MIAMI HEAT,@ bos, 105-110,DNP,   
SF,"Graham, Treveon",0,$10,BROOKLYN NETS,v mil, 121-131,DNP,   
PF,"Ellenson, Henry",0,$10,NEW YORK KNICKS,v chi, 113-105,DNP,   
SF,"Pinson, Theo",0,$10,BROOKLYN NETS,v mil, 121-131,DNP,   
PF,"Haslem, Udonis",0,$10,MIAMI HEAT,@ bos, 105-110,DNP,   
PF,"Labissiere, Skal",0,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,DNP,   
PF,"Love, Kevin",0,$29,CLEVELAND CAVALIERS,@ pho, 113-122,DNP,   
SF,"Mykhailiuk, Sviatoslav",0,$10,DETROIT PISTONS,@ ind, 102-111,DNP,   
PF,"Hezonja, Mario",0,$10,NEW YORK KNICKS,v chi, 113-105,DNP,   
SF,"Antetokounmpo, Kostas",0,$10,DALLAS MAVERICKS,v phi, 122-102,NA,   
SF,"Korkmaz, Furkan",0,$10,PHILADELPHIA 76ERS,@ dal, 102-122,NA,   
SF,"Hardaway Jr., Tim",0,$10,DALLAS MAVERICKS,v phi, 122-102,NA,   
SF,"Frazier, Melvin",0,$10,ORLANDO MAGIC,@ tor, 109-121,NA,   
PF,"Warren, T.J.",0,$25,PHOENIX SUNS,v cle, 122-113,NA,   
SF,"Porter, Otto",0,$25,CHICAGO BULLS,@ nyk, 105-113,NA,   
PF,"Vonleh, Noah",0,$12,NEW YORK KNICKS,v chi, 113-105,NA,   
SF,"McCaw, Patrick",0,$10,TORONTO RAPTORS,v orl, 121-109,NA,   
SF,"Blossomgame, Jaron",0,$10,CLEVELAND CAVALIERS,@ pho, 113-122,NA,   
PF,"Markkanen, Lauri",0,$29,CHICAGO BULLS,@ nyk, 105-113,NA,   
PF,"Griffin, Blake",0,$37,DETROIT PISTONS,@ ind, 102-111,NA,   
SF,"Covington, Robert",0,$10,MINNESOTA TIMBERWOLVES,v por, 122-132,NA,   
PF,"Williams, Alan",0,$10,BROOKLYN NETS,v mil, 121-131,NA,   
SF,"Oubre, Kelly",0,$10,PHOENIX SUNS,v cle, 122-113,NA,   
SF,"Musa, Dzanan",0,$10,BROOKLYN NETS,v mil, 121-131,NA,   
PF,"Anunoby, OG",0,$10,TORONTO RAPTORS,v orl, 121-109,NA,   
PF,"Porzingis, Kristaps",0,$10,DALLAS MAVERICKS,v phi, 122-102,NA,   
SF,"Hutchison, Chandler",0,$10,CHICAGO BULLS,@ nyk, 105-113,NA,   
SF,"Butler, Jimmy",0,$37,PHILADELPHIA 76ERS,@ dal, 102-122,NA,   
PF,"Mirotic, Nikola",0,$20,MILWAUKEE BUCKS,@ bkn, 131-121,NA,   
PF,"Henson, John",0,$10,CLEVELAND CAVALIERS,@ pho, 113-122,NA,   
PF,"Hicks, Isaiah",0,$10,NEW YORK KNICKS,v chi, 113-105,NA,   
SF,"Kennard, Luke",0,$10,DETROIT PISTONS,@ ind, 102-111,NA,   
PF,"Cavanaugh, Tyler",0,$10,UTAH JAZZ,v cha, 111-102,NA,   
PF,"Johnson, Alize",0,$10,INDIANA PACERS,v det, 111-102,NA,   
SF,"Deng, Luol",0,$10,MINNESOTA TIMBERWOLVES,v por, 122-132,NA,   
SF,"McGruder, Rodney",0,$10,MIAMI HEAT,@ bos, 105-110,NA,   
PF,"Favors, Derrick",0,$22,UTAH JAZZ,v cha, 111-102,NA,   
SF,"Crabbe, Allen",0,$10,BROOKLYN NETS,v mil, 121-131,NA,   
C,"Drummond, Andre^",54.9,$45,DETROIT PISTONS,@ ind, 102-111,37:14,   18pt 17rb 5as 4st 3to 8-18fg 2-5ft
C,"Horford, Al^",49.2,$22,BOSTON CELTICS,v mia, 110-105,34:05,   19pt 11rb 10as 1st 1to 7-13fg 5-5ft
C,"Turner, Myles^",48.2,$26,INDIANA PACERS,v det, 111-102,34:05,   17pt 6rb 3st 5bl 2trey 5-7fg 5-6ft
C,"Gobert, Rudy^",48.1,$38,UTAH JAZZ,v cha, 111-102,39:01,   18pt 18rb 1as 3bl 2to 8-10fg 2-7ft
C,"Adebayo, Bam^",44.8,$21,MIAMI HEAT,@ bos, 105-110,30:41,   19pt 14rb 2as 2bl 1trey 8-12fg 2-2ft
C,"Kanter, Enes^",44.7,$18,PORTLAND TRAIL BLAZERS,@ min, 132-122,25:41,   20pt 11rb 1as 4bl 2to 7-10fg 6-8ft
C,"Lopez, Robin^",42.4,$16,CHICAGO BULLS,@ nyk, 105-113,30:05,   29pt 7rb 2as 1bl 1to 12-18fg 5-8ft
